tour_id,guide_name,city,tour_title,duration_hours,group_size_max,base_price_usd,years_of_experience,transport_included,meals_included,rating,number_of_reviews,cluster_label,available_datetime,accessibility,languages_spoken,long_tour,large_group,senior_guide,high_rating,price_score,rating_score,reviews_score,experience_score,duration_score,transport_score,meal_score,senior_guide_score,rating_bonus,tour_score,tour_description
1,mahmoud ali,Sharm El Sheikh,VIP Ras Mohammed Diving Experience,8.9,2,161.89,12.0,1,1,4.9,180,Luxury,2026-09-19 11:00:00,Limited accessibility,"Arabic, English, Spanish",1,0,1,1,0.5315953937850819,0.98,0.8869965279490463,0.6,0.898989898989899,1,1,1,1,0.9078076612647596,Explore the best of Alexandria with an expert guide. Discover historical sites and hidden gems.
2,mahmoud ali,Sharm El Sheikh,VIP Ras Mohammed Diving Experience,8.9,2,161.89,12.0,1,1,4.9,180,Luxury,2026-09-09 14:00:00,Limited accessibility,"Arabic, English, Spanish",1,0,1,1,0.5315953937850819,0.98,0.8869965279490463,0.6,0.898989898989899,1,1,1,1,0.9078076612647596,Explore the best of Alexandria with an expert guide. Discover historical sites and hidden gems.
3,mahmoud ali,Sharm El Sheikh,VIP Ras Mohammed Diving Experience,8.9,2,161.89,12.0,1,1,4.9,180,Luxury,2026-07-06 15:00:00,Limited accessibility,"Arabic, English, Spanish",1,0,1,1,0.5315953937850819,0.98,0.8869965279490463,0.6,0.898989898989899,1,1,1,1,0.9078076612647596,Explore the best of Alexandria with an expert guide. Discover historical sites and hidden gems.
4,mahmoud ali,Sharm El Sheikh,VIP Ras Mohammed Diving Experience,8.9,2,161.89,12.0,1,1,4.9,180,Luxury,2026-06-27 15:00:00,Limited accessibility,"Arabic, English, Spanish",1,0,1,1,0.5315953937850819,0.98,0.8869965279490463,0.6,0.898989898989899,1,1,1,1,0.9078076612647596,Explore the best of Alexandria with an expert guide. Discover historical sites and hidden gems.
5,mahmoud ali,Sharm El Sheikh,VIP Ras Mohammed Diving Experience,8.9,2,161.89,12.0,1,1,4.9,180,Luxury,2026-06-26 08:00:00,Limited accessibility,"Arabic, English, Spanish",1,0,1,1,0.5315953937850819,0.98,0.8869965279490463,0.6,0.898989898989899,1,1,1,1,0.9078076612647596,Explore the best of Alexandria with an expert guide. Discover historical sites and hidden gems.
6,mahmoud ali,Sharm El Sheikh,VIP Ras Mohammed Diving Experience,8.9,2,161.89,12.0,1,1,4.9,180,Luxury,2026-04-10 09:00:00,Limited accessibility,"Arabic, English, Spanish",1,0,1,1,0.5315953937850819,0.98,0.8869965279490463,0.6,0.898989898989899,1,1,1,1,0.9078076612647596,Explore the best of Alexandria with an expert guide. Discover historical sites and hidden gems.
7,mahmoud ali,Sharm El Sheikh,VIP Ras Mohammed Diving Experience,8.9,2,161.89,12.0,1,1,4.9,180,Luxury,2026-02-24 16:00:00,Limited accessibility,"Arabic, English, Spanish",1,0,1,1,0.5315953937850819,0.98,0.8869965279490463,0.6,0.898989898989899,1,1,1,1,0.9078076612647596,Explore the best of Alexandria with an expert guide. Discover historical sites and hidden gems.
8,mahmoud ali,Sharm El Sheikh,VIP Ras Mohammed Diving Experience,8.9,2,161.89,12.0,1,1,4.9,180,Luxury,2026-02-16 14:00:00,Limited accessibility,"Arabic, English, Spanish",1,0,1,1,0.5315953937850819,0.98,0.8869965279490463,0.6,0.898989898989899,1,1,1,1,0.9078076612647596,Explore the best of Alexandria with an expert guide. Discover historical sites and hidden gems.
9,mahmoud ali,Sharm El Sheikh,VIP Ras Mohammed Diving Experience,8.9,2,161.89,12.0,1,1,4.9,180,Luxury,2026-02-07 08:00:00,Limited accessibility,"Arabic, English, Spanish",1,0,1,1,0.5315953937850819,0.98,0.8869965279490463,0.6,0.898989898989899,1,1,1,1,0.9078076612647596,Explore the best of Alexandria with an expert guide. Discover historical sites and hidden gems.
10,mahmoud ali,Sharm El Sheikh,VIP Ras Mohammed Diving Experience,8.9,2,161.89,12.0,1,1,4.9,180,Luxury,2026-12-05 11:00:00,Limited accessibility,"Arabic, English, Spanish",1,0,1,1,0.5315953937850819,0.98,0.8869965279490463,0.6,0.898989898989899,1,1,1,1,0.9078076612647596,Explore the best of Alexandria with an expert guide. Discover historical sites and hidden gems.
